hue	sat	light	r	g	b
330	     1	  0.75	255	128	191
345	     1	  0.75	255	128	160
0	     1	 0.875	255	192	192
15	     1	 0.875	255	208	192
30	     1	 0.875	255	224	192
45	     1	 0.875	255	240	192
60	     1	 0.875	255	255	192
75	     1	 0.875	240	255	192
90	     1	 0.875	224	255	192
105	     1	 0.875	208	255	192
120	     1	 0.875	192	255	192
135	     1	 0.875	192	255	208
150	     1	 0.875	192	255	224
165	     1	 0.875	192	255	240
180	     1	 0.875	192	255	255
195	     1	 0.875	192	240	255
210	     1	 0.875	192	224	255
225	     1	 0.875	192	208	255
240	     1	 0.875	192	192	255
255	     1	 0.875	207	192	255
270	     1	 0.875	224	192	255
285	     1	 0.875	240	192	255
300	     1	 0.875	255	192	255
315	     1	 0.875	255	192	240
330	     1	 0.875	255	192	223
345	     1	 0.875	255	192	208
0	     1	     1	255	255	255
15	     1	     1	255	255	255
30	     1	     1	255	255	255
45	     1	     1	255	255	255
60	     1	     1	255	255	255
75	     1	     1	255	255	255
90	     1	     1	255	255	255
105	     1	     1	255	255	255
120	     1	     1	255	255	255
135	     1	     1	255	255	255
150	     1	     1	255	255	255
165	     1	     1	255	255	255
180	     1	     1	255	255	255
195	     1	     1	255	255	255
210	     1	     1	255	255	255
225	     1	     1	255	255	255
240	     1	     1	255	255	255
255	     1	     1	255	255	255
270	     1	     1	255	255	255
285	     1	     1	255	255	255
300	     1	     1	255	255	255
315	     1	     1	255	255	255
330	     1	     1	255	255	255
345	     1	     1	255	255	255
